tripId,distance,startLat,startLon,startTime,endLat,endLon,endTime,duration,activeDay,TripCurve,isLongDistanceTrip,isLongTimeTrip,isHighCurveTrip,avgSpd,afternoonDis,afternoonDuration,afternoonFlag,duskDis,duskDuration,duskFlag,lateNightDis,lateNightDuration,lateNightFlag,brakeCount,warnCount,bdCount,lowSpdDuration,maxSpd,startOdo,endOdo,odo,odoErrorCount,gpsDistance,startSoc,endSoc,useSoc,isLowSocTrip,isFullSocTrip,isHolidayTtrip,isWeekendTrip
tripid_0,30439.398313292837,29571300.0,106522810.0,20200107142127,29559410.0,106523710.0,20200107163847,8240,['20200107'],22.973650730624687,0,1,1,3.6941017370501017,9159.716085000722,2313,1,0.0,0,0,0.0,0,0,0,0,0,1290,573.0,36140.0,36445.0,305.0,0,1324.970013264633,60.0,50.0,-10.0,0,0,0,0
tripid_1,36525.20535038572,29559470.0,106523620.0,20200107174147,29644450.0,106570290.0,20200108075104,50957,['20200107'],3.4881047725402543,0,1,1,0.7167848450730168,0.0,0,0,20812.217418624063,4693,1,9520.991879514633,34843,1,0,0,0,88641,586.0,36445.0,37321.0,876.0,0,10471.361307127767,100.0,72.0,-28.0,0,1,0,0
tripid_2,36.122306026863384,29644720.0,106570190.0,20200108075224,29644440.0,106570140.0,20200108075254,30,['20200108'],1.1464738201689522,0,0,0,1.2040768675621127,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,30,8.0,37321.0,37321.0,0.0,0,31.507309972015022,72.0,72.0,0.0,0,0,0,0
tripid_3,184.48541508134355,29642120.0,106570080.0,20200108082413,29643510.0,106570820.0,20200108082523,70,['20200108'],1.0832697138433773,0,0,0,2.6355059297334793,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,40,62.0,37321.0,37321.0,0.0,0,170.3042305381179,80.0,80.0,0.0,0,0,0,0
tripid_4,114225.70743421357,29642480.0,106569710.0,20200108121128,29631680.0,106473730.0,20200108201448,29000,['20200108'],12.211856098337705,0,1,1,3.9388174977315025,26452.445924386324,7200,1,30889.500885762347,7200,1,0.0,0,0,0,0,0,176301,587.0,37323.0,38431.0,1108.0,0,9353.672899057674,80.0,64.0,-16.0,0,0,0,0
tripid_17,7838.665124935467,29507510.0,106526650.0,20200115105437,29508690.0,106489620.0,20200121183653,546136,"['20200115', '20200116', '20200117', '20200118', '20200119', '20200120', '20200121']",2.186001522856216,0,1,1,0.014352954437970519,0.0,0,0,7646.072116193372,5813,1,671.5406861420757,61733,1,0,0,0,710,732.0,44315.0,44392.0,77.0,0,3585.8461409914826,72.0,65.0,-7.0,0,0,0,0
tripid_18,2593.1419435704815,29507880.0,106490860.0,20200121184443,29508750.0,106489720.0,20200121185652,729,['20200121'],17.67322200959378,0,0,1,3.557122007641264,0.0,0,0,2593.1419435704815,729,1,0.0,0,0,0,0,0,339,556.0,44392.0,44413.0,21.0,0,146.7271752803656,65.0,63.0,-2.0,0,0,0,0
tripid_29,220873.51716482814,29507890.0,106490580.0,20200124152544,29513200.0,106513790.0,20200323214811,5120547,"['20200124', '20200125', '20200126', '20200127', '20200128', '20200129', '20200130', '20200131', '20200201', '20200202', '20200203', '20200204', '20200205', '20200206', '20200207', '20200208', '20200209', '20200210', '20200211', '20200212', '20200213', '20200214', '20200215', '20200216', '20200217', '20200218', '20200219', '20200220', '20200221', '20200222', '20200223', '20200224', '20200225', '20200226', '20200227', '20200228', '20200229', '20200301', '20200302', '20200303', '20200304', '20200305', '20200306', '20200307', '20200308', '20200309', '20200310', '20200311', '20200312', '20200313', '20200314', '20200315', '20200316', '20200317', '20200318', '20200319', '20200320', '20200321', '20200322', '20200323']",95.10885722339381,1,1,1,0.043134750479749163,11386.754192591827,7200,1,35493.011056382005,8372,1,3036.531189831281,86444,1,0,0,0,183342,854.0,47480.0,51995.0,4515.0,0,2322.3233210134727,61.0,39.0,-22.0,0,0,1,0
